Action,Source URL,Current Target URL,Suggested Target URL,Suggested Anchor Text,Link Position,Priority,Reason
FIX_REDIRECT,https://www.sterlinglawyers.com/wisconsin/divorce/entitled-ex-husbands-retirement-money-right-away/,https://www.sterlinglawyers.com/wisconsin/divorce/,https://www.sterlinglawyers.com/wisconsin/divorce/,,Content,Low,3xx internal link (redirect report)
FIX_REDIRECT,https://www.sterlinglawyers.com/wisconsin/property-division/pitfalls-of-couples-separating-who-were-never-married/,https://www.sterlinglawyers.com/wisconsin/divorce/,https://www.sterlinglawyers.com/wisconsin/divorce/,,Content,Low,3xx internal link (redirect report)
FIX_REDIRECT,https://www.sterlinglawyers.com/wisconsin/divorce/how-can-i-be-officially-divorced-without-signing-anything/,https://www.sterlinglawyers.com/wisconsin/divorce/,https://www.sterlinglawyers.com/wisconsin/divorce/,,Content,Low,3xx internal link (redirect report)
FIX_REDIRECT,https://www.sterlinglawyers.com/wisconsin/divorce/,https://www.sterlinglawyers.com/wisconsin/child-custody/placement-factors/,https://www.sterlinglawyers.com/wisconsin/child-custody/,,Content,High,3xx internal link (redirect report)
FIX_REDIRECT,https://www.sterlinglawyers.com/wisconsin/child-custody/,https://www.sterlinglawyers.com/wisconsin/child-custody/placement-factors/,https://www.sterlinglawyers.com/wisconsin/child-custody/,,Content,High,3xx internal link (redirect report)
FIX_REDIRECT,https://www.sterlinglawyers.com/wisconsin/paternity/,https://www.sterlinglawyers.com/wisconsin/child-custody/placement-factors/,https://www.sterlinglawyers.com/wisconsin/child-custody/,,Content,High,3xx internal link (redirect report)
FIX_REDIRECT,https://www.sterlinglawyers.com/wisconsin/child-custody/parenting-plan/,https://www.sterlinglawyers.com/wisconsin/child-custody/placement-factors/,https://www.sterlinglawyers.com/wisconsin/child-custody/,,Content,Low,3xx internal link (redirect report)
FIX_REDIRECT,https://www.sterlinglawyers.com/wisconsin/child-support/calculator/,https://www.sterlinglawyers.com/wisconsin/child-custody/placement-factors/,https://www.sterlinglawyers.com/wisconsin/child-custody/,,Content,Low,3xx internal link (redirect report)
FIX_REDIRECT,https://www.sterlinglawyers.com/wisconsin/child-custody/third-party-visitation/,https://www.sterlinglawyers.com/wisconsin/child-custody/placement-factors/,https://www.sterlinglawyers.com/wisconsin/child-custody/,,Content,Low,3xx internal link (redirect report)
FIX_REDIRECT,https://www.sterlinglawyers.com/wisconsin/faq/,https://www.sterlinglawyers.com/wisconsin/child-custody/placement-factors/,https://www.sterlinglawyers.com/wisconsin/child-custody/,,Content,Low,3xx internal link (redirect report)
FIX_REDIRECT,https://www.sterlinglawyers.com/wisconsin/child-support/,https://www.sterlinglawyers.com/wisconsin/child-custody/placement-factors/,https://www.sterlinglawyers.com/wisconsin/child-custody/,,Content,High,3xx internal link (redirect report)
FIX_REDIRECT,https://www.sterlinglawyers.com/wisconsin/property-division/,https://www.sterlinglawyers.com/wisconsin/child-custody/placement-factors/,https://www.sterlinglawyers.com/wisconsin/child-custody/,,Content,High,3xx internal link (redirect report)
FIX_REDIRECT,https://www.sterlinglawyers.com/wisconsin/child-custody/custody-process/,https://www.sterlinglawyers.com/wisconsin/child-custody/placement-factors/,https://www.sterlinglawyers.com/wisconsin/child-custody/,,Content,Low,3xx internal link (redirect report)
FIX_REDIRECT,https://www.sterlinglawyers.com/wisconsin/child-custody/sole-orders/,https://www.sterlinglawyers.com/wisconsin/child-custody/placement-factors/,https://www.sterlinglawyers.com/wisconsin/child-custody/,,Content,Low,3xx internal link (redirect report)
FIX_REDIRECT,https://www.sterlinglawyers.com/wisconsin/property-division/prenuptial-agreements/,https://www.sterlinglawyers.com/wisconsin/child-custody/placement-factors/,https://www.sterlinglawyers.com/wisconsin/child-custody/,,Content,Low,3xx internal link (redirect report)
FIX_REDIRECT,https://www.sterlinglawyers.com/wisconsin/divorce/abandonment/,https://www.sterlinglawyers.com/wisconsin/child-custody/placement-factors/,https://www.sterlinglawyers.com/wisconsin/child-custody/,,Content,Low,3xx internal link (redirect report)
FIX_REDIRECT,https://www.sterlinglawyers.com/wisconsin/child-custody/unfit-parent/,https://www.sterlinglawyers.com/wisconsin/child-custody/placement-factors/,https://www.sterlinglawyers.com/wisconsin/child-custody/,,Content,Low,3xx internal link (redirect report)
FIX_REDIRECT,https://www.sterlinglawyers.com/wisconsin/divorce/file-for-divorce/,https://www.sterlinglawyers.com/wisconsin/child-custody/placement-factors/,https://www.sterlinglawyers.com/wisconsin/child-custody/,,Content,Low,3xx internal link (redirect report)
FIX_REDIRECT,https://www.sterlinglawyers.com/wisconsin/child-custody/paternity/,https://www.sterlinglawyers.com/wisconsin/child-custody/placement-factors/,https://www.sterlinglawyers.com/wisconsin/child-custody/,,Content,Low,3xx internal link (redirect report)
FIX_REDIRECT,https://www.sterlinglawyers.com/wisconsin/child-custody/50-50-schedules/,https://www.sterlinglawyers.com/wisconsin/child-custody/placement-factors/,https://www.sterlinglawyers.com/wisconsin/child-custody/,,Content,Low,3xx internal link (redirect report)
